country_iso3,year,oil_rents_pct_gdp,total_natural_resource_rents_pct_gdp,fuel_exports_pct_merch_exports,ores_and_metals_exports_pct_merch_exports,gdp_current_usd,gdp_growth_pct
VEN,1960,,,,,7663938303.07171,
VEN,1961,,,,,8067267030.61862,3.19251943889351
VEN,1962,,,92.3629279351709,0.180690478647573,8814309884.21165,8.53293376290748
VEN,1963,,,92.9111895427033,3.76672119170157,9608717288.17057,3.90095116381761
VEN,1964,,,91.0995448082283,5.87164970374326,8192413793.10345,11.1293452932631
VEN,1965,,,92.5185567156205,4.6596531793633,8427777777.77778,4.16286666476383
VEN,1966,,,93.4011576320389,4.96447157842293,8781333333.33333,1.51025011101866
VEN,1967,,,93.4213440140314,4.35139600234646,9250000000.0,2.83386903098939
VEN,1968,,,93.4616531067943,4.12701347839794,10034444444.4444,7.33723265821627
VEN,1969,,,92.35925258221,5.03554042630553,10285111111.1111,0.706036796156368
VEN,1970,4.79927244945126,5.48772130601331,91.0159714248327,5.80784544796093,11561111111.1111,7.71191438124387
VEN,1971,6.78719222962612,7.38794104909662,91.5238450151192,5.50373167972084,12986590909.0909,1.47929120998987
VEN,1972,6.69174635347221,7.19271915747182,90.5740424938746,5.0327125265331,13977727272.7273,1.28280503619366
VEN,1973,10.2866739191916,10.7554427076038,93.0898064449265,4.35479132791224,17035581395.3488,7.10995789495608
VEN,1974,33.3402278252986,33.9478841729493,95.1307868601858,2.8734857009038,26100930232.5581,2.06933320169247
VEN,1975,24.0233622156042,24.8915014056924,94.640486168019,3.3594015143054,27464651162.7907,2.89625778007183
VEN,1976,22.1509399998971,22.9931513860828,93.8272821162325,3.63174325863264,31419534883.7209,7.72773984679837
VEN,1977,15.7438348333444,16.1985343555775,92.611057457657,4.9375377453672,36210697674.4186,6.27078351298829
VEN,1978,15.4615217950232,15.8263995123574,94.4678736341477,2.88739329714763,39316279069.7674,2.34689637191248
VEN,1979,35.9005908031082,36.481380981255,92.7633174683121,4.92305870936454,48310930232.5581,0.764355145425426
VEN,1980,33.5669317799093,34.4312946645093,94.0132950841181,3.88540535800573,59116511627.907,-4.42132236441782
VEN,1981,24.1805766481041,24.750858904318,92.8470828736878,4.31039399328237,66327441860.4651,-1.28832143395154
VEN,1982,12.7185086495916,13.1086608763643,94.9870259876472,2.34829320289717,67736744186.0465,2.64479628533559
VEN,1983,16.5476906655835,17.0995109701258,95.4270089483389,2.29790929669019,67556279069.7674,-9.8555302269491
VEN,1984,18.3191498331889,19.0260300794035,93.1300299355276,2.36445054175413,59867743467.9335,5.22290283259414
VEN,1985,15.6094632774951,16.3107385078032,79.9671112777283,6.77495873277036,61965466666.6667,0.867445543503692
VEN,1986,7.36089191172372,8.00102414924425,84.0617359322362,5.06845679340767,60516123711.3402,6.07980818844057
VEN,1987,15.2245976568424,15.9166311155573,87.1351581271011,5.02195163942421,48029034482.7586,4.80107391677578
VEN,1988,9.50512761197021,10.0130859589153,,,60226413793.1035,6.51035577626698
VEN,1989,20.0333515379632,20.9626504331607,,,43536709104.0115,-13.9197067893711
VEN,1990,28.0600250559547,29.2548511239111,80.0617955414958,7.37221216579258,48606952194.7752,6.4678522746499
VEN,1991,15.6286717350987,16.6639894189064,80.8505449922492,7.69936529436233,53453444786.6256,9.72990963006499
VEN,1992,14.935095280643,15.7571776112482,79.9198010311707,6.76270380019404,60416519620.0849,6.06034937385407
VEN,1993,14.9699327410478,15.7932181812518,77.6086498419481,5.37565069801416,60037460783.1941,0.275410410462172
VEN,1994,15.3866042080656,16.2198265911409,75.9427778042581,5.89376749826447,58418666666.6667,-2.34933212064234
VEN,1995,14.5559545074645,15.1363210095652,76.2539922437174,6.55661930202742,77389487770.0883,3.95160929610903
VEN,1996,23.0648781099677,23.8367720643582,80.7622668694753,4.49239975846932,70543211119.099,-0.197928583722387
VEN,1997,17.5046486685088,18.0963540802062,78.9184411868888,4.8056482307645,85837678559.8324,6.37100504679063
VEN,1998,8.57137562243914,9.06347009522954,70.6379310406942,5.85597575442254,91336763255.0597,0.294055160519548
VEN,1999,12.8387638257711,13.269532614572,81.403534775883,4.26300133966284,97972842461.5131,-5.97045814641012
VEN,2000,20.0011569684281,20.5761295010598,86.0857594456901,3.33227544879703,117146466002.661,3.6869441668769
VEN,2001,14.809781275052,15.3442903568827,83.0445636085282,3.98947482607954,122911036746.729,3.39423610779077
VEN,2002,18.7480489712018,19.4545884689745,80.1191539247763,4.35033958431729,92893587733.6549,-8.85564735286771
VEN,2003,21.1779581221907,21.8955843439596,82.2427109948815,4.08245262236796,83620628582.1082,-7.75530004959877
VEN,2004,23.0890395880635,23.8297115705399,83.4198338154401,3.21971376759069,112451400424.964,18.2866066891244
VEN,2005,28.0538745861065,29.2230041014033,87.8247886816393,2.32505838590638,145513489651.872,10.3179138043147
VEN,2006,26.8186567625884,28.0774680117788,92.5603892681709,2.08818528782387,183477522123.894,9.87214910851037
VEN,2007,21.6186473049421,23.1186941835454,,,230364012575.687,8.75357880785845
VEN,2008,22.6737847784336,23.9223070628002,93.7428917187714,1.88460854572586,315953388510.678,5.27785412398785
VEN,2009,9.95847654408777,10.5416668243022,95.8996773647734,1.20638690168558,329787628928.472,-3.20230265749002
VEN,2010,11.6928975467648,12.380878328857,93.3969113313162,2.3573078829314,393192354510.653,-1.48879125078356
VEN,2011,23.1450195251423,24.4753357613612,67.1966073193092,0.891443496040358,316482190800.364,4.17642535923936
VEN,2012,17.9387823718967,18.7812359044725,98.7637309978349,0.0460182045396548,372592062768.06,5.62595697508632
